name,estimatedCost,type
Actualización y mejora del sistema de climatización,3000,material
Actualización y mejora del sistema de Protección contra incendios (PCI),3500,material
Aislamiento térmico continuo y de espesor adecuado,1500,material
Barreras anti-viento vegetales,1200,natural
Barreras de protección contra inundaciones: temporales o permanentes,4000,material
Building Management System (BMS),1000,material
Colocación de dispositivos sanitarios por encima del nivel de inundación previsto,3000,material
Colocación de instalaciones eléctricas y mecánicas por encima del nivel de inundación previsto,2500,material
Contratación de un seguro de cobertura ante impactos del Cambio Climático,1200,inmaterial
Contraventanas exteriores y refuerzos de carpinterías,3200,material
Cubierta vegetal (plana o inclinada),2800,natural
Deshumidificador,800,material
Disposición de juntas de dilatación o contracción,1600,material
Elevación del suelo de la planta baja (suelo habitable sobre-elevado),5000,material
Fachada vegetal,3000,natural
Filtros y sistemas de purificación de aire (filtración de aire exterior),2000,material
Grupo electrógeno,6000,material
Jardín de lluvia,2000,natural
Materiales de construcción resistentes al agua,1800,material
Mejora de la estanqueidad al agua líquida (impermeabilización),2200,material
Mejora de la hermeticidad al aire,1800,material
Orientación y dimensionado de los huecos acristalados,2000,material
Plan de capacitación de empleados ante los riesgos del Cambio Climático,600,inmaterial
Plan de emergencia (Plan de autoprotección),800,inmaterial
Re-dimensionamiento de sistemas de evacuación de aguas pluviales,3500,material
Redes eléctricas subterráneas y protegidas,5500,material
Reflectividad de la envolvente,1250,material
Refuerzo estructural de elementos primarios y secundarios,7000,material
Revisión periódica de los sistemas de evacuación de aguas pluviales,400,material
Revisión periódica de los sistemas de extinción de incendios,500,inmaterial
Sectorización de incendios,3000,material
Separación entre la fachada y el desagüe de pluviales,1500,material
Sistema de drenaje perimetral,4500,material
Sistemas de alerta temprana,1000,inmaterial
Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable),1200,material
Ventilación mecánica controlada (VMC) con recuperador de calor,2500,material
Xerojardinería: vegetación de bajos requerimientos hídricos,1000,natural
Zona ajardinada exterior/interior,1500,natural
